text,sentiment
I feel like I'm letting everyone down.,Negative
I'm suffering from severe insomnia these days.,Negative
"I feel empty inside, like something is missing.",Negative
I had a very frustrating day trying to solve a simple issue.,Negative
I feel really guilty about what I said yesterday.,Negative
I am filled with self-doubt and fear of failure.,Negative
It feels like my hard work is never appreciated.,Negative
I feel so weak and helpless right now.,Negative
I am constantly worried about what might go wrong.,Negative
I feel very bitter and resentful today.,Negative
"My health has been deteriorating, and I feel miserable.",Negative
"I feel so isolated in this new city, I miss my home.",Negative
"I got into a fight with my parents, feeling miserable.",Negative
I feel like I am failing at everything I try.,Negative
Today I woke up at 7 AM and had oatmeal for breakfast.,Neutral
I went to the supermarket and bought some groceries.,Neutral
I am working on my coding assignment today.,Neutral
The weather is cloudy and it might rain later.,Neutral
I have a meeting scheduled for 3 PM this afternoon.,Neutral
I spent two hours reading emails and replying to them.,Neutral
Today I washed my clothes and cleaned the kitchen table.,Neutral
I am sitting in a cafe drinking a cup of green tea.,Neutral
I watched a documentary about nature on television.,Neutral
I walked to the local park and sat on a bench.,Neutral
I need to renew my library books by tomorrow.,Neutral
I am writing a report for my project coordinator.,Neutral
"Today was a normal, quiet day with nothing special happening.",Neutral
I bought a black pen and a notebook from the stationery shop.,Neutral
I cooked rice and chicken for lunch today.,Neutral
The train was on time and not very crowded.,Neutral
I attended a lecture on databases at my college.,Neutral
I have to pay my electricity bill before Friday.,Neutral
I spent the evening organizing my desktop folders.,Neutral
I watered the indoor plants in my living room.,Neutral
The temperature today is around 25 degrees Celsius.,Neutral
I am planning my schedule for the upcoming week.,Neutral
I had a salad and some soup for dinner.,Neutral
I walked for thirty minutes after having my lunch.,Neutral
I am waiting for my packages to be delivered today.,Neutral
I checked the news on my phone this morning.,Neutral
I spent the morning attending online classes.,Neutral
I need to buy some new shoes for my running routine.,Neutral
The coffee shop down the street has reopened today.,Neutral
I listened to an instrumental music playlist while studying.,Neutral
I spent my afternoon filing tax documents.,Neutral
"I brushed my teeth, washed my face, and prepared for bed.",Neutral
"The computer screen is a bit dusty, I should clean it.",Neutral
I received a notification about a software update.,Neutral
I am practicing touch typing on my laptop.,Neutral
I drove my car to the local repair shop to check the brakes.,Neutral
I am reading a textbook chapter on linear regression.,Neutral
Today I bought some apples and bananas from the vendor.,Neutral
I spent my evening doing laundry and folding clothes.,Neutral
I have a dental checkup scheduled next Monday.,Neutral
I ate a sandwich at noon and drank some water.,Neutral
I walked through the mall to get to the bookstore.,Neutral
I am looking at a map to find the best route to the venue.,Neutral
I need to clean the air filters in the air conditioner.,Neutral
I spent three hours writing code and fixing minor warnings.,Neutral
The package contains a user manual and a charger.,Neutral
I am filling out a survey form for my university.,Neutral
I am reading the terms and conditions of this software.,Neutral
Today I replaced the batteries in the wall clock.,Neutral
I watched a short video tutorial on git commands.,Neutral
